"creative_id","slug","title","current_status","public_eligible","review_status","risk_level","action","canonical_target","duplicate_cluster_id","stale_claim_count","unsupported_claim_count","language_issue_count","image_duplicate_count","performance_signal","reason","recommended_next_step"
"5170dbb9-68da-4838-b830-bc78609ba2dc","fukuoka-3","후쿠오카 3일 패키지 여행 준비 체크리스트와 비교 기준 2026","published","true","null","LOW","REFRESH","","","0","4","0","0","clicks=0;impressions=0","unsupported_numbers","editorial_refresh_with_claim_and_image_evidence"
"2ba7f96d-9174-41e3-87a4-b95b5bb60a2b","buenosaires-weather-packing","부에노스아이레스 월별 날씨 옷차림 여행 준비물 체크리스트","published","false","null","MEDIUM","MERGE","sendai-7-weather-preparation","dup-f1f36c2b2efa9974","0","0","0","3","clicks=0;impressions=0","template_skeleton_cluster","merge_into:sendai-7-weather-preparation"
"5af70cd2-ef81-411a-854c-bd67afcafa7f","abudhabi-weather-packing","아부다비 월별 날씨 옷차림 여행 준비물 체크리스트","published","false","null","MEDIUM","MERGE","sendai-7-weather-preparation","dup-f1f36c2b2efa9974","0","0","0","1","clicks=0;impressions=0","template_skeleton_cluster","merge_into:sendai-7-weather-preparation"
"9fd5fe1f-53d3-41a8-9957-e71f5de482e4","santiago-weather-packing","산티아고 월별 날씨 옷차림 여행 준비물 체크리스트","published","false","null","MEDIUM","MERGE","sendai-7-weather-preparation","dup-f1f36c2b2efa9974","0","0","0","3","clicks=0;impressions=0","template_skeleton_cluster","merge_into:sendai-7-weather-preparation"
"4acdb523-0f7b-47dc-b6bd-bc26aead48db","nice-weather-packing","니스 월별 날씨 옷차림 여행 준비물 체크리스트","published","false","null","MEDIUM","MERGE","sendai-7-weather-preparation","dup-f1f36c2b2efa9974","0","0","0","3","clicks=0;impressions=0","template_skeleton_cluster","merge_into:sendai-7-weather-preparation"
"209fb464-54e2-4dc4-9799-33b12d13337b","johorbahru-weather-packing","조호르바루 월별 날씨 옷차림 여행 준비물 체크리스트","published","false","null","MEDIUM","MERGE","sendai-7-weather-preparation","dup-f1f36c2b2efa9974","0","0","0","2","clicks=0;impressions=0","template_skeleton_cluster","merge_into:sendai-7-weather-preparation"
"72a15826-751d-4781-a07c-4d454440ce93","riodejaneiro-weather-packing","리우데자네이루 월별 날씨 옷차림 여행 준비물 체크리스트","published","false","null","MEDIUM","MERGE","sendai-7-weather-preparation","dup-f1f36c2b2efa9974","0","0","0","3","clicks=0;impressions=0","template_skeleton_cluster","merge_into:sendai-7-weather-preparation"
"a7e9f1af-6afd-4831-a21f-9228621b2040","goldcoast-weather-packing","골드코스트 월별 날씨 옷차림 여행 준비물 체크리스트","published","false","null","MEDIUM","MERGE","sendai-7-weather-preparation","dup-f1f36c2b2efa9974","0","0","0","2","clicks=0;impressions=0","template_skeleton_cluster","merge_into:sendai-7-weather-preparation"
"37477bbc-b670-4aa2-adbb-a039364dc4b3","cancun-8-weather-preparation","칸쿤 월별 날씨 옷차림 여행 준비물 체크리스트","published","false","null","MEDIUM","MERGE","sendai-7-weather-preparation","dup-f1f36c2b2efa9974","0","0","0","0","clicks=0;impressions=0","template_skeleton_cluster","merge_into:sendai-7-weather-preparation"
"19fc0de1-5be8-486d-8cb0-2c462e2fde62","saopaulo-8-weather-preparation","상파울루 월별 날씨 옷차림 여행 준비물 체크리스트","published","false","null","MEDIUM","MERGE","sendai-7-weather-preparation","dup-f1f36c2b2efa9974","0","0","0","2","clicks=0;impressions=0","template_skeleton_cluster","merge_into:sendai-7-weather-preparation"
"ffb16311-b83f-47b1-a601-bf21c2b90f03","perth-weather-packing","퍼스 월별 날씨 옷차림 여행 준비물 체크리스트","published","false","null","MEDIUM","MERGE","sendai-7-weather-preparation","dup-f1f36c2b2efa9974","0","0","0","3","clicks=0;impressions=0","template_skeleton_cluster","merge_into:sendai-7-weather-preparation"
"2fdb97d6-dea8-40e8-8fcd-222508d454dc","cairns-weather-packing","케언스 월별 날씨 옷차림 여행 준비물 체크리스트","published","false","null","MEDIUM","MERGE","sendai-7-weather-preparation","dup-f1f36c2b2efa9974","0","0","0","2","clicks=0;impressions=0","template_skeleton_cluster","merge_into:sendai-7-weather-preparation"
"8ae7a9d1-72df-4fb1-bc26-7260f073ba8e","lyon-weather-packing","리옹 월별 날씨 옷차림 여행 준비물 체크리스트","published","false","null","MEDIUM","MERGE","sendai-7-weather-preparation","dup-f1f36c2b2efa9974","0","0","0","0","clicks=0;impressions=0","template_skeleton_cluster","merge_into:sendai-7-weather-preparation"
